Maize,0.25,-0.95779,1.861894,0.246289,1.198438,-1.23619
Maize,0.416,-1.01271,0.093736,-1.68941,0.006705,-1.43415
Maize,0.34,-0.04582,-0.67406,-0.61846,1.097636,0.915513
Maize,0.25,-0.81409,1.624893,-0.38096,-0.47702,-0.68263
Maize,0.416,-1.06827,0.061012,-1.74585,1.387697,-1.50849
Maize,0.34,-0.06314,-0.82495,-0.58636,-0.54971,0.817285
Maize,0.25,-0.30923,1.513608,-0.35869,0.166815,-1.20774
Maize,0.416,-1.04231,0.136707,-1.56959,0.310758,-1.39192
Maize,0.34,0.028647,-0.77644,-0.75633,1.179191,0.679922
Maize,0.25,-0.96296,1.56319,-0.09323,0.134586,-1.09765
Maize,0.416,-1.01453,0.291998,-1.69914,-1.29417,-1.31955
Maize,0.34,-0.30923,-0.78636,-0.62261,-0.40574,0.897812
Maize,0.25,-0.83669,1.837874,-0.00779,-1.25564,-1.0795
Maize,0.34,-0.37562,-0.7067,-0.35023,-0.24022,0.586522
Maize,0.416,-0.9456,-0.33776,-1.68941,-1.36292,-0.8576
Maize,0.25,-0.53872,1.185266,0.246289,-0.0268,-0.7284
Maize,0.34,0.505762,-0.79611,-0.61846,-0.11441,1.306556
Maize,0.416,-0.97166,-0.37822,-1.74585,0.061075,-0.85667
Maize,0.25,-0.32103,0.783983,-0.38096,-0.44625,-0.4269
Maize,0.34,-0.19651,-0.77578,-0.58636,-0.40909,1.092281
Maize,0.416,-1.0385,-0.25473,-1.56959,0.703268,-0.84662
Maize,0.25,-0.67495,0.791807,-0.35869,0.703268,-0.7801
Maize,0.34,0.273215,-0.88057,-0.75633,0.705922,1.106781
Maize,0.416,-1.02173,-0.33941,-1.69914,0.363455,-0.68053
Maize,0.25,-0.63945,0.971733,-0.09323,-0.2206,-0.55601
Maize,0.34,-0.18623,-0.79834,-0.62261,-0.57103,1.270263
Maize,0.25,-0.51541,1.022085,-0.00779,0.087358,-0.55887
Maize,0.34,-0.48462,-0.62712,-0.35023,0.788221,0.899013
Maize,0.25,-0.93975,0.750598,0.458075,-0.36927,-1.06098
Maize,0.416,-0.87329,-0.09692,-1.08222,-0.57103,-1.26267
Maize,0.34,1.070597,-0.71554,0.34312,-0.10379,0.658102
Maize,0.25,-0.94282,1.185266,1.028019,1.637752,-1.18701
Maize,0.416,-0.99249,-0.33776,-1.4828,-0.57103,-1.33925
Maize,0.34,0.912691,-0.79611,0.325514,0.520088,0.977784
Maize,0.25,-0.83503,0.783983,0.701795,0.530707,-0.55703
Maize,0.416,-1.06899,-0.37822,-1.58025,3.336813,-1.42097
Maize,0.34,0.804023,-0.77578,0.102595,3.336813,0.894274
Maize,0.25,-0.97038,0.791807,0.518489,-0.10379,-1.10111
Maize,0.416,-1.04436,-0.25473,-1.47182,-0.36927,-1.30629
Maize,0.34,0.987376,-0.88057,0.20797,1.560763,0.728029
Maize,0.25,-0.97533,0.971733,0.545933,0.448408,-1.03798
Maize,0.416,-0.99898,-0.33941,-1.18961,-0.10379,-1.25957
Maize,0.34,0.309264,-0.79834,0.139489,1.858099,0.923144
Maize,0.25,-0.8459,1.022085,1.018004,0.514778,-1.01197
Maize,0.34,0.192247,-0.62712,0.302213,2.033314,0.673014
Maize,0.25,-0.80819,1.373787,0.466531,0.642208,-1.02147
Maize,0.416,0.090345,0.304757,-1.17056,-0.57103,-1.26859
Maize,0.34,-0.21634,-0.52217,0.175736,0.363455,0.665332
Maize,0.25,-0.79604,1.373787,1.146599,-0.2206,-1.21521
Maize,0.416,-0.80353,0.304757,-1.40627,-0.40909,-1.38815
Maize,0.34,0.090326,-0.52217,0.10363,-0.57103,0.918457
